UniqueIDN,LAT,LON,PlantType,FuelType,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour,PLCO2RTA_total
957_G_2,41.375528,-89.464872,Combustion Turbine,NaturalGas,3.0,0.0,0,0.0,0.0
957_G_3,41.375528,-89.464872,Combustion Turbine,NaturalGas,3.4,0.0,0,0.0,0.0
957_G_4,41.375528,-89.464872,Combustion Turbine,NaturalGas,3.4,0.0,0,0.0,0.0
957_G_5,41.375528,-89.464872,Combustion Turbine,NaturalGas,4.4,0.0,0,0.0,0.0
957_G_6,41.375528,-89.464872,Combustion Turbine,NaturalGas,5.5,0.0,0,0.0,0.0
957_G_7,41.375528,-89.464872,Combustion Turbine,NaturalGas,7.0,0.0,0,0.0,0.0
957_G_8,41.375528,-89.464872,Combustion Turbine,NaturalGas,8.7,0.0,0,0.0,0.0
971_G_2,38.334786,-90.158939,Combustion Turbine,NaturalGas,0.2,0.0,0,0.0,0.0
971_G_3,38.334786,-90.158939,Combustion Turbine,NaturalGas,0.2,0.0,0,0.0,0.0
971_G_5,38.334786,-90.158939,Combustion Turbine,NaturalGas,0.4,0.0,0,0.0,0.0
971_G_6,38.334786,-90.158939,Combustion Turbine,NaturalGas,0.5,0.0,0,0.0,0.0
1187_G_1,42.01667,-93.16333,Combustion Turbine,NaturalGas,0.6,0.0,0,0.0,0.0
1187_G_2,42.01667,-93.16333,Combustion Turbine,NaturalGas,0.6,0.0,0,0.0,0.0
1187_G_3,42.01667,-93.16333,Combustion Turbine,NaturalGas,1.3,0.0,0,0.0,0.0
1187_G_4,42.01667,-93.16333,Combustion Turbine,NaturalGas,1.3,0.0,0,0.0,0.0
1187_G_6,42.01667,-93.16333,Combustion Turbine,NaturalGas,2.5,0.0,0,0.0,0.0
1194_G_1,42.1697,-92.0222,Combustion Turbine,NaturalGas,1.2,0.0,0,0.0,0.0
1194_G_10,42.1697,-92.0222,Combustion Turbine,NaturalGas,0.6,0.0,0,0.0,0.0
1194_G_6,42.1697,-92.0222,Combustion Turbine,NaturalGas,2.5,0.0,0,0.0,0.0
1194_G_7,42.1697,-92.0222,Combustion Turbine,NaturalGas,3.7,0.0,0,0.0,0.0
1194_G_9,42.1697,-92.0222,Combustion Turbine,NaturalGas,3.0,0.0,0,0.0,0.0
1201_G_4,43.2041487776085,-94.20686386654779,Combustion Turbine,NaturalGas,1.1,5082.2200376038645,46,110.48304429573618,8033597.351161407
1194_G_8,42.1697,-92.0222,Combustion Turbine,NaturalGas,5.6,0.0,0,0.0,0.0
55201_G_1,40.4705,-88.3987,Combustion Turbine,NaturalGas,114.0,0.0,0,0.0,0.0
55201_G_2,40.4705,-88.3987,Combustion Turbine,NaturalGas,114.0,0.0,0,0.0,0.0
55202_G_1,38.1114,-89.3467,Combustion Turbine,NaturalGas,44.0,2069.5110336095777,48,43.114813200199535,2622890.005952644
55202_G_2,38.1114,-89.3467,Combustion Turbine,NaturalGas,44.0,0.0,0,0.0,0.0
55202_G_3,38.1114,-89.3467,Combustion Turbine,NaturalGas,44.0,0.0,0,0.0,0.0
55202_G_4,38.1114,-89.3467,Combustion Turbine,NaturalGas,44.0,2126.9916664443517,50,42.539833328887035,2695740.7300849054
55202_G_5,38.1114,-89.3467,Combustion Turbine,NaturalGas,35.0,3240.2511337875158,94,34.47075674242038,4106681.325957762
