LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
27.788215,-81.869983,Combined Cycle,822072780.8847018,2086.0,981356.8036919406,5737,171.71768368306002
27.7944,-82.4036,Coal Steam,25717044.666910123,1217.0,13582.066162039215,80,169.77582702549017
27.7944,-82.4036,Combustion Turbine,5017416.274026727,56.0,2649.8721248482816,86,30.812466568003273
27.7944,-82.4036,Solar PV,4829718.008481299,19.0,2550.7421394958737,300,8.50247379831958
27.811083,-97.595813,Combustion Turbine,3848559.7345914394,33.0,4208.951179320781,177,23.77938519390272
27.8139,-97.4283,Combined Cycle,225941693.62800002,469.0,338149.0,2163,156.33333333333334
27.819412,-97.419203,Combined Cycle,207046595.154,633.0,226394.0,1442,104.66666666666667
27.833642,-82.051937,Non-Fossil Waste,0.0,104.0,74984.0,2163,34.666666666666664
27.8489,-81.8775,Combined Cycle,74535736.99599999,113.0,81473.0,1442,56.5
27.859535,-82.601759,Combined Cycle,471639221.298,1120.0,529214.0,2884,146.8
27.859535,-82.601759,Combustion Turbine,3135392.0126146367,175.0,3518.141141861135,84,41.88263264120398
27.8605,-82.3903,Non-Fossil Waste,0.0,75.9,54723.900000000234,1442,37.95000000000016
27.87082,-81.825061,Combined Cycle,67131148.32480007,110.6,79742.6000000001,2163,36.86666666666671
27.8733,-82.6741,Municipal Solid Waste,94608647.5152008,58.2,41962.20000000035,2163,19.400000000000166
27.882778,-97.242778,Combined Cycle,4751133.074217449,460.0,7532.477965570435,52,146.0528106535269
27.88929,-97.258417,Combined Cycle,284660953.122,366.0,263885.99999999994,2163,121.99999999999999
27.9072,-82.4231,Combined Cycle,660846139.0344523,1630.0,782648.0970880754,5019,147.08929320635718
27.9072,-82.4231,Combustion Turbine,8949911.303209573,224.0,10599.488499393126,344,30.812466568003273
27.908,-81.9185,Non-Fossil Waste,0.0,80.0,57680.0,721,80.0
27.9386,-97.4586,Onshore Wind,0.0,180.0,57060.075782888525,721,79.1401883257816
27.949528,-82.421182,Municipal Solid Waste,31236903.936,18.0,12978.000000000002,2884,4.500000000000001
27.953889,-82.4325,Solar PV,0.0,1.0,134.2495862892566,300,0.4474986209641887
27.954901,-82.340469,Municipal Solid Waste,76015844.73,42.0,30282.000000000004,2884,10.500000000000002
27.965797,-82.532816,Solar PV,0.0,1.6,214.79933806281056,300,0.7159977935427019
27.982089,-82.042005,Solar PV,0.0,3.0,402.74875886777,300,1.3424958628925667
27.986163,-81.690172,Solar PV,0.0,1.5,201.374379433885,300,0.6712479314462834
27.988523,-82.047295,Solar PV,0.0,2.7,362.4738829809924,300,1.208246276603308
27.991144,-82.047303,Solar PV,0.0,3.5,469.873552012398,300,1.56624517337466
27.9958,-97.2967,Onshore Wind,0.0,200.1,63431.78424531102,721,87.9775093554938
28.0274,-82.0164,Combustion Turbine,0.0,50.0,0.0,0,0.0
28.0479,-82.6853,Solar PV,0.0,1.9,255.07421394958746,300,0.8502473798319582
28.0525,-81.8083,Combined Cycle,191575239.25379953,590.0,222854.6758462238,1274,196.37655052254226
28.058078,-81.241681,Solar PV,0.0,3.8,510.1484278991749,300,1.7004947596639164
28.063777,-81.097236,Landfill Gas,0.0,8.399999999999999,6056.3999999999305,4326,1.3999999999999841
28.066389,-82.0175,Solar PV,0.0,6.0,805.49751773554,300,2.6849917257851335
28.0797,-81.9228,Combined Cycle,96257469.105,105.0,75705.0,1442,52.5
28.0797,-81.9228,Combustion Turbine,485667.10129542864,19.0,381.96960968778035,42,9.094514516375721
28.0801,-81.9229,Coal Steam,4163979.710419712,342.0,3816.8172780751124,20,190.84086390375563
28.0801,-81.9229,Combined Cycle,101999361.9187246,338.0,93495.39479018825,744,166.11727804757066
28.0801,-81.9229,Combustion Turbine,609030.9262408646,21.0,558.2543441173289,193,6.0227300555468695
28.0801,-81.9229,O/G Steam,0.0,106.0,0.0,0,0.0
28.184444,-82.788611,O/G Steam,0.0,1013.0,0.0,0,0.0
28.262778,-81.548611,Combustion Turbine,71849249.45623505,951.0,45000.50697733419,1204,37.375836359912114
28.2764,-81.533,Combined Cycle,419841554.594,638.0,459998.0,4326,106.33333333333333
28.2764,-81.533,Combustion Turbine,1382026.4216945143,32.0,1514.2126427704459,86,17.60712375314472
28.3661,-80.7947,Combustion Turbine,45827018.62638366,790.2,37391.5884474127,430,86.95718243584349
28.3665,-82.558611,Combustion Turbine,27566336.178479306,463.20000000000005,21918.228004102206,258,84.95437210892328
28.3681,-82.5583,Municipal Solid Waste,44869012.007399425,26.099999999999998,18818.09999999976,2163,8.69999999999989
28.3737,-81.562589,Solar PV,0.0,4.9,657.8229728173571,300,2.1927432427245237
28.442623,-81.412343,Combined Cycle,75838759.92,120.0,86520.0,721,120.0
28.4586,-80.6811,Solar PV,0.0,10.0,1342.4958628925663,300,4.474986209641887
28.4698,-80.7644,Combined Cycle,2623887.142478155,1211.0,3371.2276247988034,14,180.96138123994018
28.47735,-81.18036,Solar PV,0.0,4.8,644.3980141884316,300,2.1479933806281055
28.4822,-81.1678,Coal Steam,17655289.992991097,896.0,9999.614857179244,40,249.99037142948106
28.4822,-81.1678,Combined Cycle,375533653.91499996,295.0,212695.0,1442,147.5
28.48455,-81.17411,Solar PV,0.0,4.1,550.4233037859525,300,1.834744345953175
28.488246,-81.166944,Combined Cycle,50268447.77162913,657.0,59053.5489866243,319,205.04267804760255
28.488889,-81.182222,Solar PV,0.0,5.1,684.6728900752082,300,2.2822429669173605
28.493232,-80.780124,Combustion Turbine,5058385361.47,290.0,209090.0,2884,72.5
28.5105,-96.7706,Combined Cycle,41397298.08522876,141.0,50330.816731868494,2288,17.999532479256363
28.513929,-96.794154,Coal Steam,0.0,7.6,0.0,0,0.0
28.514365507810766,-81.32373216220999,Combined Cycle,43221729.32,56.0,40376.0,1442,28.0
28.514365507810766,-81.32373216220999,Non-Fossil Waste,0.0,3.2,2307.2000000000057,1442,1.6000000000000039
28.553991410743855,-82.42534756871248,Biomass,4172850.948,66.0,47586.0,721,66.0
28.5707,-96.8333,Non-Fossil Waste,0.0,38.8,27974.79999999977,1442,19.39999999999984
28.620414920984604,-82.49767528642744,Combined Cycle,1540877026.965726,3355.1,1894696.0324881647,624,3036.3718469361615
28.620414920984604,-82.49767528642744,Combustion Turbine,1321387.2495409097,92.7,648.9000000000001,7,92.70000000000002
28.620414920984604,-82.49767528642744,Solar PV,0.0,894.2,120045.98005985326,300,400.15326686617755
